"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"District of Columbia","2021-04-19T00:00:00.000","8100","8100"
"Maryland","2021-04-19T00:00:00.000","66500","66500"
"Pennsylvania","2021-04-19T00:00:00.000","126700","126700"
"Philadelphia","2021-04-19T00:00:00.000","17600","17600"
"Virginia","2021-04-19T00:00:00.000","93300","93300"
"West Virginia","2021-04-19T00:00:00.000","20800","20800"
"Alabama","2021-04-19T00:00:00.000","53700","53700"
"Florida","2021-04-19T00:00:00.000","234500","234500"
"Georgia","2021-04-19T00:00:00.000","111100","111100"
"Kentucky","2021-04-19T00:00:00.000","48900","48900"
"Mississippi","2021-04-19T00:00:00.000","32400","32400"
"North Carolina","2021-04-19T00:00:00.000","112100","112100"
"South Carolina","2021-04-19T00:00:00.000","55000","55000"
"Tennessee","2021-04-19T00:00:00.000","73400","73400"
"Chicago","2021-04-19T00:00:00.000","29900","29900"
"Illinois","2021-04-19T00:00:00.000","111300","111300"
"Indiana","2021-04-19T00:00:00.000","72200","72200"
"Michigan","2021-04-19T00:00:00.000","110600","110600"
"Minnesota","2021-04-19T00:00:00.000","60600","60600"
"Ohio","2021-04-19T00:00:00.000","128600","128600"
"Wisconsin","2021-04-19T00:00:00.000","64400","64400"
"Arkansas","2021-04-19T00:00:00.000","32600","32600"
"Louisiana","2021-04-19T00:00:00.000","50700","50700"
"New Mexico","2021-04-19T00:00:00.000","23100","23100"
"Oklahoma","2021-04-19T00:00:00.000","42200","42200"
"Texas","2021-04-19T00:00:00.000","293500","293500"
"Iowa","2021-04-19T00:00:00.000","34300","34300"
"Kansas","2021-04-19T00:00:00.000","31300","31300"
"Missouri","2021-04-19T00:00:00.000","67100","67100"
"Nebraska","2021-04-19T00:00:00.000","20700","20700"
"Colorado","2021-04-19T00:00:00.000","60900","60900"
"Montana","2021-04-19T00:00:00.000","11700","11700"
"North Dakota","2021-04-19T00:00:00.000","8500","8500"
"South Dakota","2021-04-19T00:00:00.000","9300","9300"
"Utah","2021-04-19T00:00:00.000","30500","30500"
"Wyoming","2021-04-19T00:00:00.000","6400","6400"
"Arizona","2021-04-19T00:00:00.000","76200","76200"
"California","2021-04-19T00:00:00.000","428600","428600"
"Hawaii","2021-04-19T00:00:00.000","15900","15900"
"Nevada","2021-04-19T00:00:00.000","32100","32100"
"American Samoa","2021-04-19T00:00:00.000","0","0"
"Guam","2021-04-19T00:00:00.000","0","0"
"Marshall Islands","2021-04-19T00:00:00.000","0","0"
"Micronesia","2021-04-19T00:00:00.000","0","0"
"Mariana Islands","2021-04-19T00:00:00.000","0","0"
"Palau","2021-04-19T00:00:00.000","0","0"
"Alaska","2021-04-19T00:00:00.000","0","0"
"Idaho","2021-04-19T00:00:00.000","17800","17800"
"Oregon","2021-04-19T00:00:00.000","46000","46000"
"Washington","2021-04-19T00:00:00.000","81700","81700"
"Federal Entities","2021-04-19T00:00:00.000","149400","149400"
"Connecticut","2021-04-12T00:00:00.000","37400","37400"
"Maine","2021-04-12T00:00:00.000","14300","14300"
"Massachusetts","2021-04-12T00:00:00.000","72100","72100"
"New Hampshire","2021-04-12T00:00:00.000","14300","14300"
"Rhode Island","2021-04-12T00:00:00.000","11300","11300"
"Vermont","2021-04-12T00:00:00.000","6700","6700"
"New Jersey","2021-04-12T00:00:00.000","91300","91300"
"New York","2021-04-12T00:00:00.000","116300","116300"
"New York City","2021-04-12T00:00:00.000","88300","88300"
"Puerto Rico","2021-04-12T00:00:00.000","35700","35700"
"U.S. Virgin Islands","2021-04-12T00:00:00.000","1100","1100"
"Delaware","2021-04-12T00:00:00.000","9900","9900"
"District of Columbia","2021-04-12T00:00:00.000","7500","7500"
"Maryland","2021-04-12T00:00:00.000","61600","61600"
"Pennsylvania","2021-04-12T00:00:00.000","117500","117500"
"Philadelphia","2021-04-12T00:00:00.000","16300","16300"
"Virginia","2021-04-12T00:00:00.000","86500","86500"
"West Virginia","2021-04-12T00:00:00.000","19300","19300"
"Alabama","2021-04-12T00:00:00.000","49800","49800"
"Florida","2021-04-12T00:00:00.000","217400","217400"
"Georgia","2021-04-12T00:00:00.000","103000","103000"
"Kentucky","2021-04-12T00:00:00.000","45300","45300"
"Mississippi","2021-04-12T00:00:00.000","30000","30000"
"North Carolina","2021-04-12T00:00:00.000","103900","103900"
"South Carolina","2021-04-12T00:00:00.000","51000","51000"
"Tennessee","2021-04-12T00:00:00.000","68100","68100"
"Chicago","2021-04-12T00:00:00.000","27700","27700"
"Illinois","2021-04-12T00:00:00.000","103100","103100"
"Indiana","2021-04-12T00:00:00.000","66900","66900"
"Michigan","2021-04-12T00:00:00.000","102600","102600"
"Minnesota","2021-04-12T00:00:00.000","56200","56200"
"Ohio","2021-04-12T00:00:00.000","119300","119300"
"Wisconsin","2021-04-12T00:00:00.000","59700","59700"
"Arkansas","2021-04-12T00:00:00.000","30200","30200"
"Louisiana","2021-04-12T00:00:00.000","47000","47000"
"New Mexico","2021-04-12T00:00:00.000","21400","21400"
"Oklahoma","2021-04-12T00:00:00.000","39200","39200"
"Texas","2021-04-12T00:00:00.000","272100","272100"
"Iowa","2021-04-12T00:00:00.000","31800","31800"
"Kansas","2021-04-12T00:00:00.000","29000","29000"
"Missouri","2021-04-12T00:00:00.000","62200","62200"
"Nebraska","2021-04-12T00:00:00.000","19200","19200"
"Colorado","2021-04-12T00:00:00.000","56500","56500"
"Montana","2021-04-12T00:00:00.000","10800","10800"
"North Dakota","2021-04-12T00:00:00.000","7800","7800"
"South Dakota","2021-04-12T00:00:00.000","8700","8700"
"Utah","2021-04-12T00:00:00.000","28300","28300"
"Wyoming","2021-04-12T00:00:00.000","5900","5900"
"Arizona","2021-04-12T00:00:00.000","70600","70600"
"California","2021-04-12T00:00:00.000","397400","397400"
"Hawaii","2021-04-12T00:00:00.000","14800","14800"
"Nevada","2021-04-12T00:00:00.000","29800","29800"
"American Samoa","2021-04-12T00:00:00.000","0","0"
"Guam","2021-04-12T00:00:00.000","0","0"
"Marshall Islands","2021-04-12T00:00:00.000","0","0"
"Micronesia","2021-04-12T00:00:00.000","0","0"
"Mariana Islands","2021-04-12T00:00:00.000","0","0"
"Palau","2021-04-12T00:00:00.000","0","0"
"Alaska","2021-04-12T00:00:00.000","0","0"
"Idaho","2021-04-12T00:00:00.000","16600","16600"
"Oregon","2021-04-12T00:00:00.000","42700","42700"
"Washington","2021-04-12T00:00:00.000","75700","75700"
"Federal Entities","2021-04-12T00:00:00.000","149400","149400"
"Connecticut","2021-04-05T00:00:00.000","37400","37400"
"Maine","2021-04-05T00:00:00.000","14300","14300"
"Massachusetts","2021-04-05T00:00:00.000","72100","72100"
"New Hampshire","2021-04-05T00:00:00.000","14300","14300"
"Rhode Island","2021-04-05T00:00:00.000","11300","11300"
"Vermont","2021-04-05T00:00:00.000","6700","6700"
"New Jersey","2021-04-05T00:00:00.000","91300","91300"
"New York","2021-04-05T00:00:00.000","116300","116300"
"New York City","2021-04-05T00:00:00.000","88300","88300"
