"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Texas","2021-03-15T00:00:00.000","260400","260400"
"Iowa","2021-03-15T00:00:00.000","30400","30400"
"Kansas","2021-03-15T00:00:00.000","27800","27800"
"Missouri","2021-03-15T00:00:00.000","59500","59500"
"Nebraska","2021-03-15T00:00:00.000","18400","18400"
"Colorado","2021-03-15T00:00:00.000","54100","54100"
"Montana","2021-03-15T00:00:00.000","10400","10400"
"North Dakota","2021-03-15T00:00:00.000","7500","7500"
"South Dakota","2021-03-15T00:00:00.000","8300","8300"
"Utah","2021-03-15T00:00:00.000","27100","27100"
"Wyoming","2021-03-15T00:00:00.000","5700","5700"
"Arizona","2021-03-15T00:00:00.000","67600","67600"
"California","2021-03-15T00:00:00.000","380300","380300"
"Hawaii","2021-03-15T00:00:00.000","14200","14200"
"Nevada","2021-03-15T00:00:00.000","28500","28500"
"American Samoa","2021-03-15T00:00:00.000","0","0"
"Guam","2021-03-15T00:00:00.000","0","0"
"Marshall Islands","2021-03-15T00:00:00.000","0","0"
"Micronesia","2021-03-15T00:00:00.000","0","0"
"Mariana Islands","2021-03-15T00:00:00.000","0","0"
"Palau","2021-03-15T00:00:00.000","0","0"
"Alaska","2021-03-15T00:00:00.000","0","0"
"Idaho","2021-03-15T00:00:00.000","15800","15800"
"Oregon","2021-03-15T00:00:00.000","40800","40800"
"Washington","2021-03-15T00:00:00.000","72400","72400"
"Federal Entities","2021-03-15T00:00:00.000","143000","143000"
"Connecticut","2021-03-08T00:00:00.000","35800","35800"
"Maine","2021-03-08T00:00:00.000","13700","13700"
"Massachusetts","2021-03-08T00:00:00.000","69000","69000"
"New Hampshire","2021-03-08T00:00:00.000","13700","13700"
"Rhode Island","2021-03-08T00:00:00.000","10800","10800"
"Vermont","2021-03-08T00:00:00.000","6500","6500"
"New Jersey","2021-03-08T00:00:00.000","87400","87400"
"New York","2021-03-08T00:00:00.000","111300","111300"
"New York City","2021-03-08T00:00:00.000","84500","84500"
"Puerto Rico","2021-03-08T00:00:00.000","34200","34200"
"U.S. Virgin Islands","2021-03-08T00:00:00.000","1100","1100"
"Delaware","2021-03-08T00:00:00.000","9500","9500"
"District of Columbia","2021-03-08T00:00:00.000","7200","7200"
"Maryland","2021-03-08T00:00:00.000","59000","59000"
"Pennsylvania","2021-03-08T00:00:00.000","112400","112400"
"Philadelphia","2021-03-08T00:00:00.000","15600","15600"
"Virginia","2021-03-08T00:00:00.000","82800","82800"
"West Virginia","2021-03-08T00:00:00.000","18500","18500"
"Alabama","2021-03-08T00:00:00.000","47700","47700"
"Florida","2021-03-08T00:00:00.000","208000","208000"
"Georgia","2021-03-08T00:00:00.000","98600","98600"
"Kentucky","2021-03-08T00:00:00.000","43400","43400"
"Mississippi","2021-03-08T00:00:00.000","28700","28700"
"North Carolina","2021-03-08T00:00:00.000","99500","99500"
"South Carolina","2021-03-08T00:00:00.000","48800","48800"
"Tennessee","2021-03-08T00:00:00.000","65200","65200"
"Chicago","2021-03-08T00:00:00.000","26500","26500"
"Illinois","2021-03-08T00:00:00.000","98700","98700"
"Indiana","2021-03-08T00:00:00.000","64100","64100"
"Michigan","2021-03-08T00:00:00.000","98200","98200"
"Minnesota","2021-03-08T00:00:00.000","53800","53800"
"Ohio","2021-03-08T00:00:00.000","114100","114100"
"Wisconsin","2021-03-08T00:00:00.000","57100","57100"
"Arkansas","2021-03-08T00:00:00.000","28900","28900"
"Louisiana","2021-03-08T00:00:00.000","45000","45000"
"New Mexico","2021-03-08T00:00:00.000","20500","20500"
"Oklahoma","2021-03-08T00:00:00.000","37500","37500"
"Texas","2021-03-08T00:00:00.000","260400","260400"
"Iowa","2021-03-08T00:00:00.000","30400","30400"
"Kansas","2021-03-08T00:00:00.000","27800","27800"
"Missouri","2021-03-08T00:00:00.000","59500","59500"
"Nebraska","2021-03-08T00:00:00.000","18400","18400"
"Colorado","2021-03-08T00:00:00.000","54100","54100"
"Montana","2021-03-08T00:00:00.000","10400","10400"
"North Dakota","2021-03-08T00:00:00.000","7500","7500"
"South Dakota","2021-03-08T00:00:00.000","8300","8300"
"Utah","2021-03-08T00:00:00.000","27100","27100"
"Wyoming","2021-03-08T00:00:00.000","5700","5700"
"Arizona","2021-03-08T00:00:00.000","67600","67600"
"California","2021-03-08T00:00:00.000","380300","380300"
"Hawaii","2021-03-08T00:00:00.000","14200","14200"
"Nevada","2021-03-08T00:00:00.000","28500","28500"
"American Samoa","2021-03-08T00:00:00.000","0","0"
"Guam","2021-03-08T00:00:00.000","0","0"
"Marshall Islands","2021-03-08T00:00:00.000","0","0"
"Micronesia","2021-03-08T00:00:00.000","0","0"
"Mariana Islands","2021-03-08T00:00:00.000","0","0"
"Palau","2021-03-08T00:00:00.000","0","0"
"Alaska","2021-03-08T00:00:00.000","0","0"
"Idaho","2021-03-08T00:00:00.000","15800","15800"
"Oregon","2021-03-08T00:00:00.000","40800","40800"
"Washington","2021-03-08T00:00:00.000","72400","72400"
"Federal Entities","2021-03-08T00:00:00.000","197900","193500"
"Alabama","2021-03-01T00:00:00.000","47700","47700"
"Alaska","2021-03-01T00:00:00.000","49300","49300"
"American Samoa","2021-03-01T00:00:00.000","4400","0"
"Arizona","2021-03-01T00:00:00.000","67600","67600"
"Arkansas","2021-03-01T00:00:00.000","28900","28900"
"California","2021-03-01T00:00:00.000","380300","380300"
"Chicago","2021-03-01T00:00:00.000","26500","26500"
"Colorado","2021-03-01T00:00:00.000","54100","54100"
"Connecticut","2021-03-01T00:00:00.000","35800","35800"
"Delaware","2021-03-01T00:00:00.000","9500","9500"
"District of Columbia","2021-03-01T00:00:00.000","7200","7200"
"Federal Entities","2021-03-01T00:00:00.000","180500","163500"
"Florida","2021-03-01T00:00:00.000","208000","208000"
"Georgia","2021-03-01T00:00:00.000","98600","98600"
"Guam","2021-03-01T00:00:00.000","14200","0"
"Hawaii","2021-03-01T00:00:00.000","14200","14200"
"Idaho","2021-03-01T00:00:00.000","15800","15800"
"Illinois","2021-03-01T00:00:00.000","98700","98700"
"Indiana","2021-03-01T00:00:00.000","64100","64100"
"Iowa","2021-03-01T00:00:00.000","30400","30400"
"Kansas","2021-03-01T00:00:00.000","27800","27800"
"Kentucky","2021-03-01T00:00:00.000","43400","43400"
"Louisiana","2021-03-01T00:00:00.000","45000","45000"
"Maine","2021-03-01T00:00:00.000","13700","13700"
"Mariana Islands","2021-03-01T00:00:00.000","4600","0"
"Marshall Islands","2021-03-01T00:00:00.000","14000","0"
"Maryland","2021-03-01T00:00:00.000","59000","59000"
"Massachusetts","2021-03-01T00:00:00.000","69000","69000"
"Michigan","2021-03-01T00:00:00.000","98200","98200"
"Micronesia","2021-03-01T00:00:00.000","16600","0"
"Minnesota","2021-03-01T00:00:00.000","53800","53800"
"Mississippi","2021-03-01T00:00:00.000","28700","28700"
"Missouri","2021-03-01T00:00:00.000","59500","59500"
"Montana","2021-03-01T00:00:00.000","10400","10400"
"Nebraska","2021-03-01T00:00:00.000","18400","18400"
"Nevada","2021-03-01T00:00:00.000","28500","28500"
"New Hampshire","2021-03-01T00:00:00.000","13700","13700"
"New Jersey","2021-03-01T00:00:00.000","87400","87400"
"New Mexico","2021-03-01T00:00:00.000","20500","20500"
"New York","2021-03-01T00:00:00.000","111300","111300"
"New York City","2021-03-01T00:00:00.000","84500","84500"
"North Carolina","2021-03-01T00:00:00.000","99500","99500"
"North Dakota","2021-03-01T00:00:00.000","7500","7500"
"Ohio","2021-03-01T00:00:00.000","114100","114100"
"Oklahoma","2021-03-01T00:00:00.000","37500","37500"
"Oregon","2021-03-01T00:00:00.000","40800","40800"
"Palau","2021-03-01T00:00:00.000","5400","0"
"Pennsylvania","2021-03-01T00:00:00.000","112400","112400"
"Philadelphia","2021-03-01T00:00:00.000","15600","15600"
"Puerto Rico","2021-03-01T00:00:00.000","34200","34200"
"Rhode Island","2021-03-01T00:00:00.000","10800","10800"
"South Carolina","2021-03-01T00:00:00.000","48800","48800"
"South Dakota","2021-03-01T00:00:00.000","8300","8300"
"Tennessee","2021-03-01T00:00:00.000","65200","65200"
"Texas","2021-03-01T00:00:00.000","260400","260400"
"U.S. Virgin Islands","2021-03-01T00:00:00.000","1100","1100"
"Utah","2021-03-01T00:00:00.000","27100","27100"
"Vermont","2021-03-01T00:00:00.000","6500","6500"
"Virginia","2021-03-01T00:00:00.000","82800","82800"
"Washington","2021-03-01T00:00:00.000","72400","72400"
"West Virginia","2021-03-01T00:00:00.000","18500","18500"
"Wisconsin","2021-03-01T00:00:00.000","57100","57100"
"Wyoming","2021-03-01T00:00:00.000","5700","5700"
"Alabama","2021-02-22T00:00:00.000","47700","47700"
"Alaska","2021-02-22T00:00:00.000","0","0"
"American Samoa","2021-02-22T00:00:00.000","0","0"
"Arizona","2021-02-22T00:00:00.000","67600","67600"
"Arkansas","2021-02-22T00:00:00.000","28900","28900"
"California","2021-02-22T00:00:00.000","380300","380300"
"Chicago","2021-02-22T00:00:00.000","26500","26500"
"Colorado","2021-02-22T00:00:00.000","54100","54100"
"Connecticut","2021-02-22T00:00:00.000","35800","35800"
"Delaware","2021-02-22T00:00:00.000","9500","9500"
"District of Columbia","2021-02-22T00:00:00.000","7200","7200"
"Federal Entities","2021-02-22T00:00:00.000","163500","163500"
"Florida","2021-02-22T00:00:00.000","208000","208000"
"Georgia","2021-02-22T00:00:00.000","98600","98600"
"Guam","2021-02-22T00:00:00.000","0","0"
"Hawaii","2021-02-22T00:00:00.000","14200","14200"
"Idaho","2021-02-22T00:00:00.000","15800","15800"
"Illinois","2021-02-22T00:00:00.000","98700","98700"
"Indiana","2021-02-22T00:00:00.000","64100","64100"
"Iowa","2021-02-22T00:00:00.000","30400","30400"
"Kansas","2021-02-22T00:00:00.000","27800","27800"
"Kentucky","2021-02-22T00:00:00.000","43400","43400"
"Louisiana","2021-02-22T00:00:00.000","45000","45000"
"Maine","2021-02-22T00:00:00.000","13700","13700"
"Mariana Islands","2021-02-22T00:00:00.000","0","0"
"Marshall Islands","2021-02-22T00:00:00.000","0","0"
"Maryland","2021-02-22T00:00:00.000","59000","59000"
"Massachusetts","2021-02-22T00:00:00.000","69000","69000"
"Michigan","2021-02-22T00:00:00.000","98200","98200"
"Micronesia","2021-02-22T00:00:00.000","0","0"
"Minnesota","2021-02-22T00:00:00.000","53800","53800"
"Mississippi","2021-02-22T00:00:00.000","28700","28700"
"Missouri","2021-02-22T00:00:00.000","59500","59500"
"Montana","2021-02-22T00:00:00.000","10400","10400"
"Nebraska","2021-02-22T00:00:00.000","18400","18400"
"Nevada","2021-02-22T00:00:00.000","28500","28500"
"New Hampshire","2021-02-22T00:00:00.000","13700","13700"
"New Jersey","2021-02-22T00:00:00.000","87400","87400"
"New Mexico","2021-02-22T00:00:00.000","20500","20500"
"New York","2021-02-22T00:00:00.000","111300","111300"
"New York City","2021-02-22T00:00:00.000","84500","84500"
"North Carolina","2021-02-22T00:00:00.000","99500","99500"
"North Dakota","2021-02-22T00:00:00.000","7500","7500"
"Ohio","2021-02-22T00:00:00.000","114100","114100"
"Oklahoma","2021-02-22T00:00:00.000","37500","37500"
"Oregon","2021-02-22T00:00:00.000","40800","40800"
"Palau","2021-02-22T00:00:00.000","0","0"
"Pennsylvania","2021-02-22T00:00:00.000","112400","112400"
"Philadelphia","2021-02-22T00:00:00.000","15600","15600"
"Puerto Rico","2021-02-22T00:00:00.000","34200","34200"
"Rhode Island","2021-02-22T00:00:00.000","10800","10800"
"South Carolina","2021-02-22T00:00:00.000","48800","48800"
"South Dakota","2021-02-22T00:00:00.000","8300","8300"
"Tennessee","2021-02-22T00:00:00.000","65200","65200"
"Texas","2021-02-22T00:00:00.000","260400","260400"
"U.S. Virgin Islands","2021-02-22T00:00:00.000","1100","1100"
"Utah","2021-02-22T00:00:00.000","27100","27100"
"Vermont","2021-02-22T00:00:00.000","6500","6500"
"Virginia","2021-02-22T00:00:00.000","82800","82800"
"Washington","2021-02-22T00:00:00.000","72400","72400"
"West Virginia","2021-02-22T00:00:00.000","18500","18500"
"Wisconsin","2021-02-22T00:00:00.000","57100","57100"
"Wyoming","2021-02-22T00:00:00.000","5700","5700"
"Alabama","2021-02-15T00:00:00.000","47700","47700"
"Alaska","2021-02-15T00:00:00.000","0","0"
"American Samoa","2021-02-15T00:00:00.000","0","0"
"Arizona","2021-02-15T00:00:00.000","67600","67600"
"Arkansas","2021-02-15T00:00:00.000","28900","28900"
"California","2021-02-15T00:00:00.000","380300","380300"
"Chicago","2021-02-15T00:00:00.000","26500","26500"
"Colorado","2021-02-15T00:00:00.000","54100","54100"
"Connecticut","2021-02-15T00:00:00.000","35800","35800"
"Delaware","2021-02-15T00:00:00.000","9500","9500"
"District of Columbia","2021-02-15T00:00:00.000","7200","7200"
"Federal Entities","2021-02-15T00:00:00.000","163500","163500"
"Florida","2021-02-15T00:00:00.000","208000","208000"
"Georgia","2021-02-15T00:00:00.000","98600","98600"
"Guam","2021-02-15T00:00:00.000","0","0"
"Hawaii","2021-02-15T00:00:00.000","14200","14200"
"Idaho","2021-02-15T00:00:00.000","15800","15800"
"Illinois","2021-02-15T00:00:00.000","98700","98700"
"Indiana","2021-02-15T00:00:00.000","64100","64100"
"Iowa","2021-02-15T00:00:00.000","30400","30400"
"Kansas","2021-02-15T00:00:00.000","27800","27800"
"Kentucky","2021-02-15T00:00:00.000","43400","43400"
"Louisiana","2021-02-15T00:00:00.000","45000","45000"
"Maine","2021-02-15T00:00:00.000","13700","13700"
"Mariana Islands","2021-02-15T00:00:00.000","0","0"
"Marshall Islands","2021-02-15T00:00:00.000","0","0"
"Maryland","2021-02-15T00:00:00.000","59000","59000"
"Massachusetts","2021-02-15T00:00:00.000","69000","69000"
"Michigan","2021-02-15T00:00:00.000","98200","98200"
"Micronesia","2021-02-15T00:00:00.000","0","0"
"Minnesota","2021-02-15T00:00:00.000","53800","53800"
"Mississippi","2021-02-15T00:00:00.000","28700","28700"
"Missouri","2021-02-15T00:00:00.000","59500","59500"
"Montana","2021-02-15T00:00:00.000","10400","10400"
"Nebraska","2021-02-15T00:00:00.000","18400","18400"
"Nevada","2021-02-15T00:00:00.000","28500","28500"
"New Hampshire","2021-02-15T00:00:00.000","13700","13700"
"New Jersey","2021-02-15T00:00:00.000","87400","87400"
"New Mexico","2021-02-15T00:00:00.000","20500","20500"
"New York","2021-02-15T00:00:00.000","111300","111300"
"New York City","2021-02-15T00:00:00.000","84500","84500"
"North Carolina","2021-02-15T00:00:00.000","99500","99500"
"North Dakota","2021-02-15T00:00:00.000","7500","7500"
"Ohio","2021-02-15T00:00:00.000","114100","114100"
"Oklahoma","2021-02-15T00:00:00.000","37500","37500"
"Oregon","2021-02-15T00:00:00.000","40800","40800"
"Palau","2021-02-15T00:00:00.000","0","0"
"Pennsylvania","2021-02-15T00:00:00.000","112400","112400"
"Philadelphia","2021-02-15T00:00:00.000","15600","15600"
"Puerto Rico","2021-02-15T00:00:00.000","34200","34200"
"Rhode Island","2021-02-15T00:00:00.000","10800","10800"
"South Carolina","2021-02-15T00:00:00.000","48800","48800"
"South Dakota","2021-02-15T00:00:00.000","8300","8300"
"Tennessee","2021-02-15T00:00:00.000","65200","65200"
"Texas","2021-02-15T00:00:00.000","260400","260400"
"U.S. Virgin Islands","2021-02-15T00:00:00.000","1100","1100"
"Utah","2021-02-15T00:00:00.000","27100","27100"
"Vermont","2021-02-15T00:00:00.000","6500","6500"
"Virginia","2021-02-15T00:00:00.000","82800","82800"
"Washington","2021-02-15T00:00:00.000","72400","72400"
"West Virginia","2021-02-15T00:00:00.000","18500","18500"
"Wisconsin","2021-02-15T00:00:00.000","57100","57100"
"Wyoming","2021-02-15T00:00:00.000","5700","5700"
"Alabama","2021-02-08T00:00:00.000","44100","44100"
"Alaska","2021-02-08T00:00:00.000","0","0"
"American Samoa","2021-02-08T00:00:00.000","0","0"
"Arizona","2021-02-08T00:00:00.000","62500","62500"
"Arkansas","2021-02-08T00:00:00.000","26800","26800"
"California","2021-02-08T00:00:00.000","351900","351900"
"Chicago","2021-02-08T00:00:00.000","24500","24500"
"Colorado","2021-02-08T00:00:00.000","50000","50000"
"Connecticut","2021-02-08T00:00:00.000","33100","33100"
"Delaware","2021-02-08T00:00:00.000","8800","8800"
"District of Columbia","2021-02-08T00:00:00.000","6600","6600"
"Federal Entities","2021-02-08T00:00:00.000","481400","481400"
"Florida","2021-02-08T00:00:00.000","192500","192500"
"Georgia","2021-02-08T00:00:00.000","91300","91300"
"Guam","2021-02-08T00:00:00.000","0","0"
"Hawaii","2021-02-08T00:00:00.000","13100","13100"
"Idaho","2021-02-08T00:00:00.000","14700","14700"
"Illinois","2021-02-08T00:00:00.000","91300","91300"
"Indiana","2021-02-08T00:00:00.000","59300","59300"
"Iowa","2021-02-08T00:00:00.000","28200","28200"
"Kansas","2021-02-08T00:00:00.000","25700","25700"
"Kentucky","2021-02-08T00:00:00.000","40200","40200"
"Louisiana","2021-02-08T00:00:00.000","41600","41600"
"Maine","2021-02-08T00:00:00.000","12700","12700"
"Mariana Islands","2021-02-08T00:00:00.000","0","0"
"Marshall Islands","2021-02-08T00:00:00.000","0","0"
"Maryland","2021-02-08T00:00:00.000","54600","54600"
"Massachusetts","2021-02-08T00:00:00.000","63800","63800"
"Michigan","2021-02-08T00:00:00.000","90900","90900"
"Micronesia","2021-02-08T00:00:00.000","0","0"
"Minnesota","2021-02-08T00:00:00.000","49700","49700"
"Mississippi","2021-02-08T00:00:00.000","26600","26600"
"Missouri","2021-02-08T00:00:00.000","55100","55100"
"Montana","2021-02-08T00:00:00.000","9600","9600"
"Nebraska","2021-02-08T00:00:00.000","17000","17000"
"Nevada","2021-02-08T00:00:00.000","26400","26400"
"New Hampshire","2021-02-08T00:00:00.000","12700","12700"
"New Jersey","2021-02-08T00:00:00.000","80900","80900"
"New Mexico","2021-02-08T00:00:00.000","19000","19000"
"New York","2021-02-08T00:00:00.000","103000","103000"
"New York City","2021-02-08T00:00:00.000","78200","78200"
"North Carolina","2021-02-08T00:00:00.000","92000","92000"
"North Dakota","2021-02-08T00:00:00.000","6900","6900"
"Ohio","2021-02-08T00:00:00.000","105600","105600"
"Oklahoma","2021-02-08T00:00:00.000","34700","34700"
"Oregon","2021-02-08T00:00:00.000","37800","37800"
"Palau","2021-02-08T00:00:00.000","0","0"
"Pennsylvania","2021-02-08T00:00:00.000","104000","104000"
"Philadelphia","2021-02-08T00:00:00.000","14400","14400"
"Puerto Rico","2021-02-08T00:00:00.000","31600","31600"
"Rhode Island","2021-02-08T00:00:00.000","10000","10000"
"South Carolina","2021-02-08T00:00:00.000","45200","45200"
"South Dakota","2021-02-08T00:00:00.000","7700","7700"
"Tennessee","2021-02-08T00:00:00.000","60300","60300"
"Texas","2021-02-08T00:00:00.000","241000","241000"
"U.S. Virgin Islands","2021-02-08T00:00:00.000","1000","1000"
"Utah","2021-02-08T00:00:00.000","25100","25100"
"Vermont","2021-02-08T00:00:00.000","6000","6000"
"Virginia","2021-02-08T00:00:00.000","76600","76600"
"Washington","2021-02-08T00:00:00.000","67000","67000"
"West Virginia","2021-02-08T00:00:00.000","17100","17100"
"Wisconsin","2021-02-08T00:00:00.000","52900","52900"
"Wyoming","2021-02-08T00:00:00.000","5300","5300"
"Alabama","2021-02-01T00:00:00.000","40400","40400"
"Alaska","2021-02-01T00:00:00.000","32300","32300"
"American Samoa","2021-02-01T00:00:00.000","3200","0"
"Arizona","2021-02-01T00:00:00.000","57200","57200"
"Arkansas","2021-02-01T00:00:00.000","24500","24500"
"California","2021-02-01T00:00:00.000","322000","322000"
"Chicago","2021-02-01T00:00:00.000","22400","22400"
"Colorado","2021-02-01T00:00:00.000","45800","45800"
"Connecticut","2021-02-01T00:00:00.000","30300","30300"
"Delaware","2021-02-01T00:00:00.000","8000","8000"
"District of Columbia","2021-02-01T00:00:00.000","6100","6100"
"Federal Entities","2021-02-01T00:00:00.000","151180","151800"
"Florida","2021-02-01T00:00:00.000","176100","176100"
"Georgia","2021-02-01T00:00:00.000","83500","83500"
"Guam","2021-02-01T00:00:00.000","9200","0"
"Hawaii","2021-02-01T00:00:00.000","12000","12000"
"Idaho","2021-02-01T00:00:00.000","13400","13400"
"Illinois","2021-02-01T00:00:00.000","83600","83600"
"Indiana","2021-02-01T00:00:00.000","54300","54300"
"Iowa","2021-02-01T00:00:00.000","25800","25800"
"Kansas","2021-02-01T00:00:00.000","23500","23500"
"Kentucky","2021-02-01T00:00:00.000","36700","36700"
"Louisiana","2021-02-01T00:00:00.000","38100","38100"
"Maine","2021-02-01T00:00:00.000","11600","11600"
"Mariana Islands","2021-02-01T00:00:00.000","3200","0"
"Marshall Islands","2021-02-01T00:00:00.000","6600","0"
"Maryland","2021-02-01T00:00:00.000","49900","49900"
"Massachusetts","2021-02-01T00:00:00.000","58400","58400"
"Michigan","2021-02-01T00:00:00.000","83100","83100"
"Micronesia","2021-02-01T00:00:00.000","9400","0"
"Minnesota","2021-02-01T00:00:00.000","45500","45500"
"Mississippi","2021-02-01T00:00:00.000","24300","24300"
"Missouri","2021-02-01T00:00:00.000","50400","50400"
"Montana","2021-02-01T00:00:00.000","8800","8800"
"Nebraska","2021-02-01T00:00:00.000","15500","15500"
"Nevada","2021-02-01T00:00:00.000","24100","24100"
"New Hampshire","2021-02-01T00:00:00.000","11600","11600"
"New Jersey","2021-02-01T00:00:00.000","74000","74000"
"New Mexico","2021-02-01T00:00:00.000","17300","17300"
"New York","2021-02-01T00:00:00.000","94200","94200"
"New York City","2021-02-01T00:00:00.000","71500","71500"
"North Carolina","2021-02-01T00:00:00.000","84200","84200"
"North Dakota","2021-02-01T00:00:00.000","6400","6400"
"Ohio","2021-02-01T00:00:00.000","96600","96600"
"Oklahoma","2021-02-01T00:00:00.000","31700","31700"
"Oregon","2021-02-01T00:00:00.000","34600","34600"
"Palau","2021-02-01T00:00:00.000","2800","0"
"Pennsylvania","2021-02-01T00:00:00.000","95200","95200"
"Philadelphia","2021-02-01T00:00:00.000","13200","13200"
"Puerto Rico","2021-02-01T00:00:00.000","28900","28900"
"Rhode Island","2021-02-01T00:00:00.000","9100","9100"
"South Carolina","2021-02-01T00:00:00.000","41400","41400"
"South Dakota","2021-02-01T00:00:00.000","7000","7000"
"Tennessee","2021-02-01T00:00:00.000","55200","55200"
"Texas","2021-02-01T00:00:00.000","220500","220500"
"U.S. Virgin Islands","2021-02-01T00:00:00.000","900","900"
"Utah","2021-02-01T00:00:00.000","22900","22900"
"Vermont","2021-02-01T00:00:00.000","5500","5500"
"Virginia","2021-02-01T00:00:00.000","70100","70100"
"Washington","2021-02-01T00:00:00.000","61300","61300"
"West Virginia","2021-02-01T00:00:00.000","15600","15600"
"Wisconsin","2021-02-01T00:00:00.000","48300","48300"
"Wyoming","2021-02-01T00:00:00.000","4800","4800"
"Alabama","2021-01-25T00:00:00.000","30600","30600"
"Alaska","2021-01-25T00:00:00.000","0","0"
"American Samoa","2021-01-25T00:00:00.000","0","0"
"Arizona","2021-01-25T00:00:00.000","43400","43400"
"Arkansas","2021-01-25T00:00:00.000","18600","18600"
"California","2021-01-25T00:00:00.000","244000","244000"
"Chicago","2021-01-25T00:00:00.000","17000","17000"
"Colorado","2021-01-25T00:00:00.000","34700","34700"
"Connecticut","2021-01-25T00:00:00.000","23000","23000"
"Delaware","2021-01-25T00:00:00.000","6100","6100"
"District of Columbia","2021-01-25T00:00:00.000","4600","4600"
"Federal Entities","2021-01-25T00:00:00.000","105300","105300"
"Florida","2021-01-25T00:00:00.000","133500","133500"
"Georgia","2021-01-25T00:00:00.000","63300","63300"
"Guam","2021-01-25T00:00:00.000","0","0"
"Hawaii","2021-01-25T00:00:00.000","9100","9100"
"Idaho","2021-01-25T00:00:00.000","10200","10200"
"Illinois","2021-01-25T00:00:00.000","63300","63300"
"Indiana","2021-01-25T00:00:00.000","41100","41100"
"Iowa","2021-01-25T00:00:00.000","19500","19500"
"Kansas","2021-01-25T00:00:00.000","17800","17800"
"Kentucky","2021-01-25T00:00:00.000","27900","27900"
"Louisiana","2021-01-25T00:00:00.000","28900","28900"
"Maine","2021-01-25T00:00:00.000","8800","8800"
"Mariana Islands","2021-01-25T00:00:00.000","0","0"
"Marshall Islands","2021-01-25T00:00:00.000","0","0"
"Maryland","2021-01-25T00:00:00.000","37800","37800"
"Massachusetts","2021-01-25T00:00:00.000","44300","44300"
"Michigan","2021-01-25T00:00:00.000","63000","63000"
"Micronesia","2021-01-25T00:00:00.000","0","0"
"Minnesota","2021-01-25T00:00:00.000","34500","34500"
"Mississippi","2021-01-25T00:00:00.000","18500","18500"
"Missouri","2021-01-25T00:00:00.000","38200","38200"
"Montana","2021-01-25T00:00:00.000","6700","6700"
"Nebraska","2021-01-25T00:00:00.000","11800","11800"
"Nevada","2021-01-25T00:00:00.000","18300","18300"
"New Hampshire","2021-01-25T00:00:00.000","8800","8800"
"New Jersey","2021-01-25T00:00:00.000","56100","56100"
"New Mexico","2021-01-25T00:00:00.000","13200","13200"
"New York","2021-01-25T00:00:00.000","71400","71400"
"New York City","2021-01-25T00:00:00.000","54200","54200"
"North Carolina","2021-01-25T00:00:00.000","63800","63800"
"North Dakota","2021-01-25T00:00:00.000","4800","4800"
"Ohio","2021-01-25T00:00:00.000","73200","73200"
"Oklahoma","2021-01-25T00:00:00.000","24100","24100"
"Oregon","2021-01-25T00:00:00.000","26200","26200"
"Palau","2021-01-25T00:00:00.000","0","0"
"Pennsylvania","2021-01-25T00:00:00.000","72100","72100"
"Philadelphia","2021-01-25T00:00:00.000","10000","10000"
"Puerto Rico","2021-01-25T00:00:00.000","21900","21900"
"Rhode Island","2021-01-25T00:00:00.000","6900","6900"
"South Carolina","2021-01-25T00:00:00.000","31400","31400"
"South Dakota","2021-01-25T00:00:00.000","5300","5300"
"Tennessee","2021-01-25T00:00:00.000","41800","41800"
"Texas","2021-01-25T00:00:00.000","167100","167100"
"U.S. Virgin Islands","2021-01-25T00:00:00.000","700","700"
"Utah","2021-01-25T00:00:00.000","17400","17400"
"Vermont","2021-01-25T00:00:00.000","4200","4200"
"Virginia","2021-01-25T00:00:00.000","53100","53100"
"Washington","2021-01-25T00:00:00.000","46500","46500"
"West Virginia","2021-01-25T00:00:00.000","11900","11900"
"Wisconsin","2021-01-25T00:00:00.000","36700","36700"
"Wyoming","2021-01-25T00:00:00.000","3700","3700"
"Alabama","2021-01-18T00:00:00.000","30600","30600"
"Alaska","2021-01-18T00:00:00.000","0","0"
"American Samoa","2021-01-18T00:00:00.000","0","0"
"Arizona","2021-01-18T00:00:00.000","43400","43400"
"Arkansas","2021-01-18T00:00:00.000","18600","18600"
"California","2021-01-18T00:00:00.000","244000","244000"
"Chicago","2021-01-18T00:00:00.000","17000","17000"
"Colorado","2021-01-18T00:00:00.000","34700","34700"
"Connecticut","2021-01-18T00:00:00.000","23000","23000"
"Delaware","2021-01-18T00:00:00.000","6100","6100"
"District of Columbia","2021-01-18T00:00:00.000","4600","4600"
"Federal Entities","2021-01-18T00:00:00.000","105000","105000"
"Florida","2021-01-18T00:00:00.000","133500","133500"
"Georgia","2021-01-18T00:00:00.000","63300","63300"
"Guam","2021-01-18T00:00:00.000","0","0"
"Hawaii","2021-01-18T00:00:00.000","9100","9100"
"Idaho","2021-01-18T00:00:00.000","10200","10200"
"Illinois","2021-01-18T00:00:00.000","63300","63300"
"Indiana","2021-01-18T00:00:00.000","41100","41100"
"Iowa","2021-01-18T00:00:00.000","19500","19500"
"Kansas","2021-01-18T00:00:00.000","17800","17800"
"Kentucky","2021-01-18T00:00:00.000","27900","27900"
"Louisiana","2021-01-18T00:00:00.000","28900","28900"
"Maine","2021-01-18T00:00:00.000","8800","8800"
