"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Kansas","2021-01-11T00:00:00.000","17550","17550"
"Missouri","2021-01-11T00:00:00.000","37050","37050"
"Nebraska***","2021-01-11T00:00:00.000","11700","11700"
"Colorado","2021-01-11T00:00:00.000","33150","33150"
"Montana","2021-01-11T00:00:00.000","6825","6825"
"North Dakota***","2021-01-11T00:00:00.000","4875","4875"
"South Dakota","2021-01-11T00:00:00.000","5850","5850"
"Utah***","2021-01-11T00:00:00.000","16575","16575"
"Wyoming","2021-01-11T00:00:00.000","3900","3900"
"Arizona***","2021-01-11T00:00:00.000","41925","41925"
"California","2021-01-11T00:00:00.000","233025","233025"
"Hawaii","2021-01-11T00:00:00.000","8775","8775"
"Nevada","2021-01-11T00:00:00.000","17550","17550"
"American Samoa**","2021-01-11T00:00:00.000","0","0"
"Guam**","2021-01-11T00:00:00.000","0","0"
"Marshall Islands*","2021-01-11T00:00:00.000","0","0"
"Micronesia*","2021-01-11T00:00:00.000","0","0"
"Mariana Islands**","2021-01-11T00:00:00.000","0","0"
"Palau*","2021-01-11T00:00:00.000","0","0"
"Alaska***","2021-01-11T00:00:00.000","0","0"
"Idaho","2021-01-11T00:00:00.000","9750","9750"
"Oregon***","2021-01-11T00:00:00.000","25350","25350"
"Washington***","2021-01-11T00:00:00.000","57525","57525"
"Federal Entities ****","2021-01-11T00:00:00.000","102375","102375"
"Connecticut","2021-01-04T00:00:00.000","22425","22425"
"Maine","2021-01-04T00:00:00.000","8775","8775"
"Massachusetts","2021-01-04T00:00:00.000","42900","42900"
"New Hampshire","2021-01-04T00:00:00.000","8775","8775"
"Rhode Island","2021-01-04T00:00:00.000","6825","6825"
"Vermont","2021-01-04T00:00:00.000","3900","3900"
"New Jersey","2021-01-04T00:00:00.000","53625","53625"
"New York","2021-01-04T00:00:00.000","68250","68250"
"New York City","2021-01-04T00:00:00.000","51675","51675"
"Puerto Rico","2021-01-04T00:00:00.000","21450","21450"
"U.S. Virgin Islands","2021-01-04T00:00:00.000","975","975"
"Delaware","2021-01-04T00:00:00.000","5850","5850"
"District of Columbia","2021-01-04T00:00:00.000","4875","4875"
"Maryland","2021-01-04T00:00:00.000","36075","36075"
"Pennsylvania","2021-01-04T00:00:00.000","69225","69225"
"Philadelphia","2021-01-04T00:00:00.000","9750","9750"
"Virginia","2021-01-04T00:00:00.000","50700","50700"
"West Virginia","2021-01-04T00:00:00.000","11700","11700"
"Alabama","2021-01-04T00:00:00.000","29250","29250"
"Florida","2021-01-04T00:00:00.000","126750","126750"
"Georgia","2021-01-04T00:00:00.000","60450","60450"
"Kentucky","2021-01-04T00:00:00.000","27300","27300"
"Mississippi","2021-01-04T00:00:00.000","17550","17550"
"North Carolina","2021-01-04T00:00:00.000","61425","61425"
"South Carolina","2021-01-04T00:00:00.000","30225","30225"
"Tennessee","2021-01-04T00:00:00.000","39975","39975"
"Chicago","2021-01-04T00:00:00.000","16575","16575"
"Illinois","2021-01-04T00:00:00.000","60450","60450"
"Indiana","2021-01-04T00:00:00.000","39000","39000"
"Michigan","2021-01-04T00:00:00.000","60450","60450"
"Minnesota***","2021-01-04T00:00:00.000","33150","33150"
"Ohio","2021-01-04T00:00:00.000","70200","70200"
"Wisconsin***","2021-01-04T00:00:00.000","35100","35100"
"Arkansas","2021-01-04T00:00:00.000","18525","18525"
"Louisiana","2021-01-04T00:00:00.000","28275","28275"
"New Mexico***","2021-01-04T00:00:00.000","12675","12675"
"Oklahoma","2021-01-04T00:00:00.000","23400","23400"
"Texas","2021-01-04T00:00:00.000","158925","158925"
"Iowa","2021-01-04T00:00:00.000","18525","18525"
"Kansas","2021-01-04T00:00:00.000","17550","17550"
"Missouri","2021-01-04T00:00:00.000","37050","37050"
"Nebraska***","2021-01-04T00:00:00.000","11700","11700"
"Colorado","2021-01-04T00:00:00.000","33150","33150"
"Montana","2021-01-04T00:00:00.000","6825","6825"
"North Dakota***","2021-01-04T00:00:00.000","4875","4875"
"South Dakota","2021-01-04T00:00:00.000","5850","5850"
"Utah***","2021-01-04T00:00:00.000","16575","16575"
"Wyoming","2021-01-04T00:00:00.000","3900","3900"
"Arizona***","2021-01-04T00:00:00.000","41925","41925"
"California","2021-01-04T00:00:00.000","232050","232050"
"Hawaii","2021-01-04T00:00:00.000","8775","8775"
"Nevada","2021-01-04T00:00:00.000","17550","17550"
"American Samoa**","2021-01-04T00:00:00.000","7800","0"
"Guam**","2021-01-04T00:00:00.000","7800","0"
"Marshall Islands*","2021-01-04T00:00:00.000","0","0"
"Micronesia*","2021-01-04T00:00:00.000","0","0"
"Mariana Islands**","2021-01-04T00:00:00.000","7800","0"
"Palau*","2021-01-04T00:00:00.000","0","0"
"Alaska***","2021-01-04T00:00:00.000","27300","27300"
"Idaho","2021-01-04T00:00:00.000","9750","9750"
"Oregon***","2021-01-04T00:00:00.000","25350","25350"
"Washington***","2021-01-04T00:00:00.000","44850","44850"
"Federal Entities ****","2021-01-04T00:00:00.000","117000","101400"
"Connecticut","2020-12-28T00:00:00.000","28275","28275"
"Maine","2020-12-28T00:00:00.000","10725","10725"
"Massachusetts","2020-12-28T00:00:00.000","54600","54600"
"New Hampshire","2020-12-28T00:00:00.000","10725","10725"
"Rhode Island","2020-12-28T00:00:00.000","8775","8775"
"Vermont","2020-12-28T00:00:00.000","5850","5850"
"New Jersey","2020-12-28T00:00:00.000","68250","68250"
"New York","2020-12-28T00:00:00.000","87750","87750"
"New York City","2020-12-28T00:00:00.000","66300","66300"
"Puerto Rico","2020-12-28T00:00:00.000","27300","27300"
"U.S. Virgin Islands","2020-12-28T00:00:00.000","975","975"
"Delaware","2020-12-28T00:00:00.000","7800","7800"
"District of Columbia","2020-12-28T00:00:00.000","5850","5850"
"Maryland","2020-12-28T00:00:00.000","46800","46800"
"Pennsylvania","2020-12-28T00:00:00.000","88725","88725"
"Philadelphia","2020-12-28T00:00:00.000","12675","12675"
"Virginia","2020-12-28T00:00:00.000","65325","65325"
"West Virginia","2020-12-28T00:00:00.000","14625","14625"
"Alabama","2020-12-28T00:00:00.000","38025","38025"
"Florida","2020-12-28T00:00:00.000","162825","162825"
"Georgia","2020-12-28T00:00:00.000","77025","77025"
"Kentucky","2020-12-28T00:00:00.000","34125","34125"
"Mississippi","2020-12-28T00:00:00.000","22425","22425"
"North Carolina","2020-12-28T00:00:00.000","78000","78000"
"South Carolina","2020-12-28T00:00:00.000","39000","39000"
"Tennessee","2020-12-28T00:00:00.000","51675","51675"
"Chicago","2020-12-28T00:00:00.000","21450","21450"
"Illinois","2020-12-28T00:00:00.000","78000","78000"
"Indiana","2020-12-28T00:00:00.000","50700","50700"
"Michigan","2020-12-28T00:00:00.000","77025","77025"
"Minnesota***","2020-12-28T00:00:00.000","42900","42900"
"Ohio","2020-12-28T00:00:00.000","89700","89700"
"Wisconsin***","2020-12-28T00:00:00.000","44850","44850"
"Arkansas","2020-12-28T00:00:00.000","23400","23400"
"Louisiana","2020-12-28T00:00:00.000","36075","36075"
"New Mexico***","2020-12-28T00:00:00.000","16575","16575"
"Oklahoma","2020-12-28T00:00:00.000","29250","29250"
"Texas","2020-12-28T00:00:00.000","203775","203775"
"Iowa","2020-12-28T00:00:00.000","24375","24375"
"Kansas","2020-12-28T00:00:00.000","22425","22425"
"Missouri","2020-12-28T00:00:00.000","46800","46800"
"Nebraska***","2020-12-28T00:00:00.000","14625","14625"
"Colorado","2020-12-28T00:00:00.000","42900","42900"
"Montana","2020-12-28T00:00:00.000","8775","8775"
"North Dakota***","2020-12-28T00:00:00.000","5850","5850"
"South Dakota","2020-12-28T00:00:00.000","6825","6825"
"Utah***","2020-12-28T00:00:00.000","21450","21450"
"Wyoming","2020-12-28T00:00:00.000","4875","4875"
"Arizona***","2020-12-28T00:00:00.000","53625","53625"
"California","2020-12-28T00:00:00.000","297375","297375"
"Hawaii","2020-12-28T00:00:00.000","11700","11700"
"Nevada","2020-12-28T00:00:00.000","22425","22425"
"American Samoa**","2020-12-28T00:00:00.000","0","0"
"Guam**","2020-12-28T00:00:00.000","0","0"
"Marshall Islands*","2020-12-28T00:00:00.000","0","0"
"Micronesia*","2020-12-28T00:00:00.000","0","0"
"Mariana Islands**","2020-12-28T00:00:00.000","0","0"
"Palau*","2020-12-28T00:00:00.000","0","0"
"Alaska***","2020-12-28T00:00:00.000","0","0"
"Idaho","2020-12-28T00:00:00.000","12675","12675"
"Oregon***","2020-12-28T00:00:00.000","32175","32175"
"Washington***","2020-12-28T00:00:00.000","57525","57525"
"Federal Entities ****","2020-12-28T00:00:00.000","128700","128700"
"Connecticut","2020-12-21T00:00:00.000","22425","22425"
"Maine","2020-12-21T00:00:00.000","8775","8775"
"Massachusetts","2020-12-21T00:00:00.000","42900","42900"
"New Hampshire","2020-12-21T00:00:00.000","8775","8775"
"Rhode Island","2020-12-21T00:00:00.000","6825","6825"
"Vermont","2020-12-21T00:00:00.000","4875","4875"
"New Jersey","2020-12-21T00:00:00.000","53625","53625"
"New York","2020-12-21T00:00:00.000","68250","68250"
"New York City","2020-12-21T00:00:00.000","51675","51675"
"Puerto Rico","2020-12-21T00:00:00.000","21450","21450"
"U.S. Virgin Islands","2020-12-21T00:00:00.000","975","975"
"Delaware","2020-12-21T00:00:00.000","5850","5850"
"District of Columbia","2020-12-21T00:00:00.000","4875","4875"
"Maryland","2020-12-21T00:00:00.000","36075","36075"
"Pennsylvania","2020-12-21T00:00:00.000","69225","69225"
"Philadelphia","2020-12-21T00:00:00.000","9750","9750"
"Virginia","2020-12-21T00:00:00.000","50700","50700"
"West Virginia","2020-12-21T00:00:00.000","11700","11700"
"Alabama","2020-12-21T00:00:00.000","29250","29250"
"Florida","2020-12-21T00:00:00.000","127725","127725"
"Georgia","2020-12-21T00:00:00.000","60450","60450"
"Kentucky","2020-12-21T00:00:00.000","27300","27300"
"Mississippi","2020-12-21T00:00:00.000","17550","17550"
"North Carolina","2020-12-21T00:00:00.000","61425","61425"
"South Carolina","2020-12-21T00:00:00.000","30225","30225"
"Tennessee","2020-12-21T00:00:00.000","39975","39975"
"Chicago","2020-12-21T00:00:00.000","16575","16575"
"Illinois","2020-12-21T00:00:00.000","60450","60450"
"Indiana","2020-12-21T00:00:00.000","39975","39975"
"Michigan","2020-12-21T00:00:00.000","60450","60450"
"Minnesota***","2020-12-21T00:00:00.000","33150","33150"
"Ohio","2020-12-21T00:00:00.000","70200","70200"
"Wisconsin***","2020-12-21T00:00:00.000","35100","35100"
"Arkansas","2020-12-21T00:00:00.000","18525","18525"
"Louisiana","2020-12-21T00:00:00.000","28275","28275"
"New Mexico***","2020-12-21T00:00:00.000","12675","12675"
"Oklahoma","2020-12-21T00:00:00.000","23400","23400"
"Texas","2020-12-21T00:00:00.000","159900","159900"
"Iowa","2020-12-21T00:00:00.000","19500","19500"
"Kansas","2020-12-21T00:00:00.000","17550","17550"
"Missouri","2020-12-21T00:00:00.000","37050","37050"
"Nebraska***","2020-12-21T00:00:00.000","11700","11700"
"Colorado","2020-12-21T00:00:00.000","33150","33150"
"Montana","2020-12-21T00:00:00.000","6825","6825"
"North Dakota***","2020-12-21T00:00:00.000","4875","4875"
"South Dakota","2020-12-21T00:00:00.000","5850","5850"
"Utah***","2020-12-21T00:00:00.000","16575","16575"
"Wyoming","2020-12-21T00:00:00.000","3900","3900"
"Arizona***","2020-12-21T00:00:00.000","41925","41925"
"California","2020-12-21T00:00:00.000","233025","233025"
"Hawaii","2020-12-21T00:00:00.000","8775","8775"
"Nevada","2020-12-21T00:00:00.000","17550","17550"
"American Samoa**","2020-12-21T00:00:00.000","0","0"
"Guam**","2020-12-21T00:00:00.000","0","0"
"Marshall Islands*","2020-12-21T00:00:00.000","0","0"
"Micronesia*","2020-12-21T00:00:00.000","0","0"
"Mariana Islands**","2020-12-21T00:00:00.000","0","0"
"Palau*","2020-12-21T00:00:00.000","0","0"
"Alaska***","2020-12-21T00:00:00.000","0","0"
"Idaho","2020-12-21T00:00:00.000","9750","9750"
"Oregon***","2020-12-21T00:00:00.000","25350","25350"
"Washington***","2020-12-21T00:00:00.000","44850","44850"
"Federal Entities ****","2020-12-21T00:00:00.000","102375","102375"
"Connecticut","2020-12-14T00:00:00.000","31200","31200"
"Maine","2020-12-14T00:00:00.000","12675","12675"
"Massachusetts","2020-12-14T00:00:00.000","59475","59475"
"New Hampshire","2020-12-14T00:00:00.000","12675","12675"
"Rhode Island","2020-12-14T00:00:00.000","9750","9750"
"Vermont","2020-12-14T00:00:00.000","5850","5850"
"New Jersey","2020-12-14T00:00:00.000","76050","76050"
"New York","2020-12-14T00:00:00.000","96525","96525"
"New York City","2020-12-14T00:00:00.000","73125","73125"
"Puerto Rico","2020-12-14T00:00:00.000","30225","30225"
"U.S. Virgin Islands","2020-12-14T00:00:00.000","975","975"
"Delaware","2020-12-14T00:00:00.000","8775","8775"
"District of Columbia","2020-12-14T00:00:00.000","6825","6825"
"Maryland","2020-12-14T00:00:00.000","50700","50700"
"Pennsylvania","2020-12-14T00:00:00.000","97500","97500"
"Philadelphia","2020-12-14T00:00:00.000","13650","13650"
"Virginia","2020-12-14T00:00:00.000","72150","72150"
"West Virginia","2020-12-14T00:00:00.000","16575","16575"
"Alabama","2020-12-14T00:00:00.000","40950","40950"
"Florida","2020-12-14T00:00:00.000","179400","179400"
"Georgia","2020-12-14T00:00:00.000","84825","84825"
"Kentucky","2020-12-14T00:00:00.000","38025","38025"
"Mississippi","2020-12-14T00:00:00.000","25350","25350"
"North Carolina","2020-12-14T00:00:00.000","85800","85800"
"South Carolina","2020-12-14T00:00:00.000","42900","42900"
"Tennessee","2020-12-14T00:00:00.000","56550","56550"
"Chicago","2020-12-14T00:00:00.000","23400","23400"
"Illinois","2020-12-14T00:00:00.000","85800","85800"
"Indiana","2020-12-14T00:00:00.000","55575","55575"
"Michigan","2020-12-14T00:00:00.000","84825","84825"
"Minnesota***","2020-12-14T00:00:00.000","46800","46800"
"Ohio","2020-12-14T00:00:00.000","98475","98475"
"Wisconsin***","2020-12-14T00:00:00.000","49725","49725"
"Arkansas","2020-12-14T00:00:00.000","25350","25350"
"Louisiana","2020-12-14T00:00:00.000","39000","39000"
"New Mexico***","2020-12-14T00:00:00.000","17550","17550"
"Oklahoma","2020-12-14T00:00:00.000","33150","33150"
"Texas","2020-12-14T00:00:00.000","224250","224250"
"Iowa","2020-12-14T00:00:00.000","26325","26325"
"Kansas","2020-12-14T00:00:00.000","24375","24375"
"Missouri","2020-12-14T00:00:00.000","51675","51675"
"Nebraska***","2020-12-14T00:00:00.000","16575","16575"
"Colorado","2020-12-14T00:00:00.000","46800","46800"
"Montana","2020-12-14T00:00:00.000","9750","9750"
"North Dakota***","2020-12-14T00:00:00.000","6825","6825"
"South Dakota","2020-12-14T00:00:00.000","7800","7800"
"Utah***","2020-12-14T00:00:00.000","23400","23400"
"Wyoming","2020-12-14T00:00:00.000","4875","4875"
"Arizona***","2020-12-14T00:00:00.000","58500","58500"
"California","2020-12-14T00:00:00.000","327600","327600"
"Hawaii","2020-12-14T00:00:00.000","12675","12675"
"Nevada","2020-12-14T00:00:00.000","25350","25350"
"American Samoa**","2020-12-14T00:00:00.000","5850","0"
"Guam**","2020-12-14T00:00:00.000","11700","0"
"Marshall Islands*","2020-12-14T00:00:00.000","0","0"
"Micronesia*","2020-12-14T00:00:00.000","0","0"
"Mariana Islands**","2020-12-14T00:00:00.000","5850","0"
"Palau*","2020-12-14T00:00:00.000","0","0"
"Alaska***","2020-12-14T00:00:00.000","35100","35100"
"Idaho","2020-12-14T00:00:00.000","13650","13650"
"Oregon***","2020-12-14T00:00:00.000","35100","35100"
"Washington***","2020-12-14T00:00:00.000","62400","62400"
"Federal Entities ****","2020-12-14T00:00:00.000","156000","142350"
